Time,Volume,ATR,p1wick,p1body,p1tail,p1dir,p2wick,p2body,p2tail,p2dir,p3wick,p3body,p3tail,p3dir,ans
06,241434,0.0057682,0.0022300,0.0069300,0.0004400,0,0.0008300,0.0016900,0.0041300,1,0.0059500,0.0013900,0.0008000,1,LE
10,152130,0.0059177,0.0003300,0.0073800,0.0001500,1,0.0022300,0.0069300,0.0004400,0,0.0008300,0.0016900,0.0041300,1,S
14,54168,0.0057557,0.0004100,0.0012500,0.0019900,0,0.0003300,0.0073800,0.0001500,1,0.0022300,0.0069300,0.0004400,0,S
18,95092,0.0054910,0.0005000,0.0009900,0.0005600,1,0.0004100,0.0012500,0.0019900,0,0.0003300,0.0073800,0.0001500,1,S
22,152420,0.0053816,0.0010200,0.0009000,0.0020400,1,0.0005000,0.0009900,0.0005600,1,0.0004100,0.0012500,0.0019900,0,S
02,174356,0.0053365,0.0006900,0.0019800,0.0020800,1,0.0010200,0.0009000,0.0020400,1,0.0005000,0.0009900,0.0005600,1,S
06,239786,0.0061189,0.0048100,0.0076600,0.0038200,0,0.0006900,0.0019800,0.0020800,1,0.0010200,0.0009000,0.0020400,1,S
10,150945,0.0061111,0.0034200,0.0022000,0.0003900,0,0.0048100,0.0076600,0.0038200,0,0.0006900,0.0019800,0.0020800,1,SE
14,33158,0.0057711,0.0004200,0.0001200,0.0008100,0,0.0034200,0.0022000,0.0003900,0,0.0048100,0.0076600,0.0038200,0,S
14,22456,0.0054745,0.0002100,0.0002500,0.0011600,0,0.0004200,0.0001200,0.0008100,0,0.0034200,0.0022000,0.0003900,0,S
18,94880,0.0052507,0.0005800,0.0006800,0.0010800,1,0.0002100,0.0002500,0.0011600,0,0.0004200,0.0001200,0.0008100,0,S
22,151999,0.0051520,0.0004500,0.0030200,0.0004000,1,0.0005800,0.0006800,0.0010800,1,0.0002100,0.0002500,0.0011600,0,S
02,172733,0.0051512,0.0011700,0.0020200,0.0019500,0,0.0004500,0.0030200,0.0004000,1,0.0005800,0.0006800,0.0010800,1,S
06,239862,0.0050297,0.0020500,0.0002000,0.0012000,0,0.0011700,0.0020200,0.0019500,0,0.0004500,0.0030200,0.0004000,1,S
10,150999,0.0049397,0.0021700,0.0008200,0.0007800,1,0.0020500,0.0002000,0.0012000,0,0.0011700,0.0020200,0.0019500,0,S
14,53929,0.0047219,0.0012200,0.0004000,0.0002700,1,0.0021700,0.0008200,0.0007800,1,0.0020500,0.0002000,0.0012000,0,S
18,96340,0.0045703,0.0008200,0.0010700,0.0007100,0,0.0012200,0.0004000,0.0002700,1,0.0021700,0.0008200,0.0007800,1,S
22,153828,0.0044031,0.0009400,0.0011400,0.0001500,0,0.0008200,0.0010700,0.0007100,0,0.0012200,0.0004000,0.0002700,1,S
02,175378,0.0050908,0.0003100,0.0126300,0.0010900,0,0.0009400,0.0011400,0.0001500,0,0.0008200,0.0010700,0.0007100,0,SE
06,238373,0.0052278,0.0023200,0.0035800,0.0011100,0,0.0003100,0.0126300,0.0010900,0,0.0009400,0.0011400,0.0001500,0,SE
10,150078,0.0051501,0.0007700,0.0010700,0.0023000,1,0.0023200,0.0035800,0.0011100,0,0.0003100,0.0126300,0.0010900,0,SE
14,53846,0.0049694,0.0006100,0.0017000,0.0003100,0,0.0007700,0.0010700,0.0023000,1,0.0023200,0.0035800,0.0011100,0,SE
18,96023,0.0048259,0.0014000,0.0001100,0.0014500,1,0.0006100,0.0017000,0.0003100,0,0.0007700,0.0010700,0.0023000,1,SE
22,152292,0.0047976,0.0024500,0.0010800,0.0009000,0,0.0014000,0.0001100,0.0014500,1,0.0006100,0.0017000,0.0003100,0,SE
02,175765,0.0048521,0.0017900,0.0005100,0.0032600,0,0.0024500,0.0010800,0.0009000,0,0.0014000,0.0001100,0.0014500,1,SE
06,238954,0.0049526,0.0012400,0.0036800,0.0013400,1,0.0017900,0.0005100,0.0032600,0,0.0024500,0.0010800,0.0009000,0,SE
10,150497,0.0049096,0.0003700,0.0030800,0.0009000,0,0.0012400,0.0036800,0.0013400,1,0.0017900,0.0005100,0.0032600,0,SE
14,54722,0.0047925,0.0013700,0.0013300,0.0005700,0,0.0003700,0.0030800,0.0009000,0,0.0012400,0.0036800,0.0013400,1,SE
18,93491,0.0046344,0.0016200,0.0001100,0.0008500,1,0.0013700,0.0013300,0.0005700,0,0.0003700,0.0030800,0.0009000,0,SE
22,153309,0.0045363,0.0026400,0.0004500,0.0001700,0,0.0016200,0.0001100,0.0008500,1,0.0013700,0.0013300,0.0005700,0,SE
